Articulo,Coste Unitario,Valor Unitario,INVERSION INDIVIDUAL,Total Invertido,Precio de venta CAJA,Venta deL Stock,INGREOS ESPERADOS,Stock,Cantidad Unitaria,Multiplicador Unitario,Imagen,color,Material,Marca,medidas piercing,formato,unidades de medida
Barbel,14,"0,7777777778",14,"3402,92",180,180,"17359,5",1,18,18,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Acero 316L,ALKIMIA,1.2x10,1 Caja,Caja
Ball Closure,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://alkimia.es/1580-home_default/bcr-18-piezas-esterilizadas.jpg,Plata,Acero 316L,ALKIMIA,1.2x10,2 Caja,Caja
Clicker,14,"0,7777777778",280,"3402,92",10,200,"17359,5",20,18,360,https://alkimia.es/1801-home_default/clicker.jpg,,Acero 316L,ALKIMIA,1x10,20 Unidad,Unidad
Circular Barbel,14,"0,7777777778",14,"3402,92",180,180,"17359,5",1,18,18,https://alkimia.es/4252-home_default/cbb-titanio-.jpg,Plata,Acero 316L,ALKIMIA,1.2x0.8,1 Caja,Caja
Labret,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://alkimia.es/1596-home_default/lab-.jpg,Plata,Acero 316L,ALKIMIA,1.2x0.6,2 Caja,Caja
Nabel,19,"1,0555555556",95,"3402,92",180,900,"17359,5",5,18,90,https://alkimia.es/4254-home_default/nbb-titanio-9-piezas-esterilizadas.jpg,Plata,Acero 316L,ALKIMIA,1.6x0.8,5 Caja,Caja
Nosetril Brillo,14,"0,7777777778",14,"3402,92",180,180,"17359,5",1,18,18,https://alkimia.es/4255-home_default/ins-titanio-9-piezas-esterilizadas.jpg,Plata,Acero 316L,ALKIMIA,1x0.7,1 Caja,Caja
Banana,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://alkimia.es/4253-home_default/ban-titanio-.jpg,Plata,Acero 316L,ALKIMIA,1.2x0.6,2 Caja,Caja
Nosetril Bola,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://alkimia.es/1586-home_default/ins-18-piezas-esterilizadas.jpg,Plata,Acero 316L,ALKIMIA,1x0.7,2 Caja,Caja
Aro Flexible,14,"0,7777777778",14,"3402,92",180,180,"17359,5",1,18,18,https://alkimia.es/1602-home_default/segment-18-piezas-esterilizadas.jpg,Dorado,Acero 316L,ALKIMIA,0.8x0.6,1 Caja,Caja
